region,avg_1_step_mape,avg_2_step_mape,avg_3_step_mape,avg_4_step_mape
CISO,0.08925436811,0.1297875227,0.1481557215,0.1618637128
ERCO,0.08938183209,0.1021705415,0.1019954503,0.1054075138
ISNE,0.05477820571,0.07010964228,0.07925867706,0.0852014469
