datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,107.71,107.71,94.25368,94.25366,66.40269,117.55005
2022-07-02T01:00:00.000000000,127.91,127.91,122.79285,122.79283,105.53701,151.66565
2022-07-02T02:00:00.000000000,169.31,169.31,160.0687,160.0687,137.32578,186.19998
2022-07-02T03:00:00.000000000,217.19,217.19,189.8835,189.88352,171.86479,219.49057
2022-07-02T04:00:00.000000000,231.37,231.37,205.00912,205.00914,200.29064,263.67476
2022-07-02T05:00:00.000000000,232.7,232.7,207.133,207.133,201.031,266.14227
2022-07-02T06:00:00.000000000,217.56,217.56,199.3406,199.3406,193.9767,258.19278
2022-07-02T07:00:00.000000000,204.25,204.25,188.64168,188.64168,171.56439,222.35732
2022-07-02T08:00:00.000000000,177.75,177.75,181.21839,181.21838,162.61108,212.00225
2022-07-02T09:00:00.000000000,168.08,168.08,175.02914,175.02914,145.95256,199.38793
2022-07-02T10:00:00.000000000,166.65,166.65,169.08723,169.08723,132.46704,180.51004
2022-07-02T11:00:00.000000000,159.24,159.24,167.42323,167.42323,141.48757,193.77531
2022-07-02T12:00:00.000000000,161.72,161.72,167.7478,167.7478,127.14579,177.16124
2022-07-02T13:00:00.000000000,155.69,155.69,161.45807,161.45807,121.03435,170.78135
2022-07-02T14:00:00.000000000,134.43,134.43,145.61792,145.61793,104.8317,156.46396
2022-07-02T15:00:00.000000000,91.89,91.89,121.73356,121.73357,80.59367,129.60747
2022-07-02T16:00:00.000000000,83.17,83.17,97.71738,97.71739,41.43884,104.58355
2022-07-02T17:00:00.000000000,79.5,79.5,84.17896,84.17896,43.17201,91.70056
2022-07-02T18:00:00.000000000,77.78,77.78,83.64144,83.64144,50.45576,104.01489
2022-07-02T19:00:00.000000000,72.52,72.52,84.32052,84.32051,44.66165,95.94032
2022-07-02T20:00:00.000000000,68.07,68.07,81.11084,81.11084,43.56363,91.9398
2022-07-02T21:00:00.000000000,66.67,66.67,79.38754,79.38753,42.60692,91.36282
2022-07-02T22:00:00.000000000,70.14,70.14,80.34925,80.34923,40.94711,89.31922
2022-07-02T23:00:00.000000000,74.33,74.33,84.70082,84.7008,44.77936,93.36579
2022-07-03T00:00:00.000000000,85.18,85.18,80.83702,80.83703,45.69317,93.88331
2022-07-03T01:00:00.000000000,95.73,95.73,109.2617,109.26172,87.49013,135.71933
2022-07-03T02:00:00.000000000,123.6,123.6,147.82662,147.82662,107.36462,156.82293
2022-07-03T03:00:00.000000000,192.55,192.55,178.89728,178.89728,137.65377,185.34943
2022-07-03T04:00:00.000000000,216.49,216.49,193.42378,193.42378,173.83294,222.03852
2022-07-03T05:00:00.000000000,203.46,203.46,193.98853,193.98851,185.06317,248.30175
2022-07-03T06:00:00.000000000,184.34,184.34,186.10979,186.10979,168.95674,216.9254
2022-07-03T07:00:00.000000000,172.76,172.76,175.96196,175.96197,149.72309,200.39583
2022-07-03T08:00:00.000000000,151.46,151.46,167.34076,167.34077,139.30517,191.72055
2022-07-03T09:00:00.000000000,136.98,136.98,159.87179,159.87181,120.00562,168.297
2022-07-03T10:00:00.000000000,141.58,141.58,156.21169,156.21169,111.0923,166.64437
2022-07-03T11:00:00.000000000,127.6,127.6,157.26556,157.26556,123.54616,171.51116
