index,time,pdu,measured_power_util
174,10800000000,pdu9,0.687
175,11100000000,pdu10,0.673
176,11100000000,pdu7,0.638
177,11100000000,pdu8,0.646
178,11100000000,pdu6,0.633
179,11100000000,pdu9,0.692
180,11400000000,pdu10,0.674
181,11400000000,pdu7,0.64
182,11400000000,pdu8,0.648
183,11400000000,pdu6,0.635
184,11400000000,pdu9,0.693
185,11700000000,pdu10,0.672
186,11700000000,pdu7,0.639
187,11700000000,pdu8,0.647
188,11700000000,pdu6,0.635
189,11700000000,pdu9,0.69
190,12000000000,pdu10,0.664
191,12000000000,pdu7,0.633
192,12000000000,pdu8,0.641
193,12000000000,pdu6,0.63
194,12000000000,pdu9,0.682
195,12300000000,pdu10,0.666
196,12300000000,pdu7,0.634
197,12300000000,pdu8,0.642
198,12300000000,pdu6,0.629
199,12300000000,pdu9,0.685
200,12600000000,pdu10,0.668
201,12600000000,pdu7,0.635
202,12600000000,pdu8,0.643
203,12600000000,pdu6,0.63
204,12600000000,pdu9,0.686
205,12900000000,pdu10,0.66
206,12900000000,pdu7,0.629
207,12900000000,pdu8,0.636
208,12900000000,pdu6,0.624
209,12900000000,pdu9,0.676
210,13200000000,pdu10,0.662
211,13200000000,pdu7,0.629
212,13200000000,pdu8,0.636
213,13200000000,pdu6,0.625
214,13200000000,pdu9,0.677
215,13500000000,pdu10,0.664
216,13500000000,pdu7,0.63
217,13500000000,pdu8,0.637
218,13500000000,pdu6,0.625
219,13500000000,pdu9,0.679
220,13800000000,pdu10,0.665
221,13800000000,pdu7,0.631
222,13800000000,pdu8,0.637
223,13800000000,pdu6,0.626
224,13800000000,pdu9,0.68
225,14100000000,pdu10,0.667
226,14100000000,pdu7,0.636
227,14100000000,pdu8,0.64
228,14100000000,pdu6,0.633
229,14100000000,pdu9,0.683
230,14400000000,pdu10,0.669
231,14400000000,pdu7,0.635
232,14400000000,pdu8,0.64
233,14400000000,pdu6,0.633
234,14400000000,pdu9,0.684
235,14700000000,pdu10,0.67
236,14700000000,pdu7,0.635
237,14700000000,pdu8,0.642
238,14700000000,pdu6,0.634
239,14700000000,pdu9,0.685
240,15000000000,pdu10,0.665
241,15000000000,pdu7,0.631
242,15000000000,pdu8,0.64
243,15000000000,pdu6,0.629
244,15000000000,pdu9,0.682
245,15300000000,pdu10,0.667
246,15300000000,pdu7,0.634
247,15300000000,pdu8,0.641
248,15300000000,pdu6,0.633
249,15300000000,pdu9,0.685
250,15600000000,pdu10,0.675
251,15600000000,pdu7,0.64
252,15600000000,pdu8,0.648
253,15600000000,pdu6,0.639
254,15600000000,pdu9,0.694
255,15900000000,pdu10,0.678
256,15900000000,pdu7,0.642
257,15900000000,pdu8,0.65
258,15900000000,pdu6,0.641
259,15900000000,pdu9,0.696
260,16200000000,pdu10,0.677
261,16200000000,pdu7,0.642
262,16200000000,pdu8,0.651
263,16200000000,pdu6,0.641
264,16200000000,pdu9,0.696
265,16500000000,pdu10,0.676
266,16500000000,pdu7,0.641
267,16500000000,pdu8,0.65
268,16500000000,pdu6,0.641
269,16500000000,pdu9,0.694
270,16800000000,pdu10,0.674
271,16800000000,pdu7,0.639
272,16800000000,pdu8,0.647
273,16800000000,pdu6,0.638
274,16800000000,pdu9,0.691
275,17100000000,pdu10,0.678
276,17100000000,pdu7,0.641
277,17100000000,pdu8,0.65
278,17100000000,pdu6,0.641
279,17100000000,pdu9,0.694
280,17400000000,pdu10,0.679
281,17400000000,pdu7,0.643
282,17400000000,pdu8,0.652
283,17400000000,pdu6,0.642
284,17400000000,pdu9,0.696
285,17700000000,pdu10,0.682
286,17700000000,pdu7,0.646
287,17700000000,pdu8,0.655
288,17700000000,pdu6,0.647
289,17700000000,pdu9,0.7
290,18000000000,pdu10,0.686
291,18000000000,pdu7,0.648
292,18000000000,pdu8,0.659
293,18000000000,pdu6,0.649
294,18000000000,pdu9,0.704
295,18300000000,pdu10,0.688
296,18300000000,pdu7,0.651
297,18300000000,pdu8,0.661
298,18300000000,pdu6,0.65
299,18300000000,pdu9,0.707
300,18600000000,pdu10,0.689
301,18600000000,pdu7,0.651
302,18600000000,pdu8,0.662
303,18600000000,pdu6,0.651
304,18600000000,pdu9,0.708
305,18900000000,pdu10,0.687
306,18900000000,pdu7,0.649
307,18900000000,pdu8,0.659
308,18900000000,pdu6,0.651
309,18900000000,pdu9,0.704
310,19200000000,pdu10,0.679
311,19200000000,pdu7,0.644
312,19200000000,pdu8,0.653
313,19200000000,pdu6,0.646
314,19200000000,pdu9,0.695
315,19500000000,pdu10,0.673
316,19500000000,pdu7,0.639
317,19500000000,pdu8,0.647
318,19500000000,pdu6,0.641
319,19500000000,pdu9,0.688
320,19800000000,pdu10,0.672
321,19800000000,pdu7,0.637
322,19800000000,pdu8,0.645
323,19800000000,pdu6,0.64
324,19800000000,pdu9,0.688
325,20100000000,pdu10,0.669
326,20100000000,pdu7,0.635
327,20100000000,pdu8,0.644
328,20100000000,pdu6,0.637
329,20100000000,pdu9,0.685
330,20400000000,pdu10,0.67
331,20400000000,pdu7,0.635
332,20400000000,pdu8,0.645
333,20400000000,pdu6,0.636
334,20400000000,pdu9,0.686
335,20700000000,pdu10,0.676
336,20700000000,pdu7,0.64
337,20700000000,pdu8,0.65
338,20700000000,pdu6,0.639
339,20700000000,pdu9,0.691
340,21000000000,pdu10,0.681
341,21000000000,pdu7,0.645
342,21000000000,pdu8,0.653
343,21000000000,pdu6,0.644
344,21000000000,pdu9,0.696
345,21300000000,pdu10,0.683
346,21300000000,pdu7,0.647
347,21300000000,pdu8,0.656
348,21300000000,pdu6,0.647
349,21300000000,pdu9,0.699
350,21600000000,pdu10,0.682
351,21600000000,pdu7,0.645
352,21600000000,pdu8,0.654
353,21600000000,pdu6,0.644
354,21600000000,pdu9,0.699
355,21900000000,pdu10,0.679
356,21900000000,pdu7,0.642
357,21900000000,pdu8,0.65
358,21900000000,pdu6,0.638
359,21900000000,pdu9,0.696
360,22200000000,pdu10,0.676
361,22200000000,pdu7,0.641
362,22200000000,pdu8,0.65
363,22200000000,pdu6,0.639
364,22200000000,pdu9,0.693
365,22500000000,pdu10,0.673
366,22500000000,pdu7,0.639
367,22500000000,pdu8,0.646
368,22500000000,pdu6,0.639
369,22500000000,pdu9,0.689
370,22800000000,pdu10,0.672
371,22800000000,pdu7,0.64
372,22800000000,pdu8,0.645
373,22800000000,pdu6,0.64
374,22800000000,pdu9,0.688
375,23100000000,pdu10,0.672
376,23100000000,pdu7,0.638
377,23100000000,pdu8,0.645
378,23100000000,pdu6,0.637
379,23100000000,pdu9,0.687
380,23400000000,pdu10,0.67
381,23400000000,pdu7,0.636
382,23400000000,pdu8,0.643
383,23400000000,pdu6,0.634
384,23400000000,pdu9,0.686
385,23700000000,pdu10,0.672
386,23700000000,pdu7,0.637
387,23700000000,pdu8,0.646
388,23700000000,pdu6,0.635
389,23700000000,pdu9,0.687
390,24000000000,pdu10,0.673
391,24000000000,pdu7,0.638
392,24000000000,pdu8,0.648
393,24000000000,pdu6,0.637
394,24000000000,pdu9,0.689
395,24300000000,pdu10,0.672
396,24300000000,pdu7,0.636
397,24300000000,pdu8,0.646
398,24300000000,pdu6,0.635
399,24300000000,pdu9,0.687
400,24600000000,pdu10,0.672
401,24600000000,pdu7,0.637
402,24600000000,pdu8,0.647
403,24600000000,pdu6,0.637
404,24600000000,pdu9,0.688
405,24900000000,pdu10,0.674
406,24900000000,pdu7,0.639
407,24900000000,pdu8,0.649
408,24900000000,pdu6,0.639
409,24900000000,pdu9,0.689
410,25200000000,pdu10,0.673
411,25200000000,pdu7,0.64
412,25200000000,pdu8,0.65
413,25200000000,pdu6,0.64
414,25200000000,pdu9,0.689
415,25500000000,pdu10,0.674
416,25500000000,pdu7,0.641
417,25500000000,pdu8,0.65
418,25500000000,pdu6,0.641
419,25500000000,pdu9,0.69
420,25800000000,pdu10,0.679
421,25800000000,pdu7,0.644
422,25800000000,pdu8,0.653
423,25800000000,pdu6,0.643
424,25800000000,pdu9,0.694
425,26100000000,pdu10,0.679
426,26100000000,pdu7,0.643
427,26100000000,pdu8,0.651
428,26100000000,pdu6,0.643
429,26100000000,pdu9,0.693
430,26400000000,pdu10,0.668
431,26400000000,pdu7,0.635
432,26400000000,pdu8,0.644
433,26400000000,pdu6,0.634
434,26400000000,pdu9,0.681
435,26700000000,pdu10,0.663
436,26700000000,pdu7,0.632
437,26700000000,pdu8,0.639
438,26700000000,pdu6,0.631
439,26700000000,pdu9,0.675
440,27000000000,pdu10,0.664
441,27000000000,pdu7,0.634
442,27000000000,pdu8,0.64
443,27000000000,pdu6,0.633
444,27000000000,pdu9,0.676
445,27300000000,pdu10,0.668
446,27300000000,pdu7,0.637
447,27300000000,pdu8,0.642
448,27300000000,pdu6,0.636
449,27300000000,pdu9,0.679
450,27600000000,pdu10,0.67
451,27600000000,pdu7,0.637
452,27600000000,pdu8,0.644
453,27600000000,pdu6,0.637
454,27600000000,pdu9,0.681
455,27900000000,pdu10,0.672
456,27900000000,pdu7,0.639
457,27900000000,pdu8,0.646
458,27900000000,pdu6,0.639
459,27900000000,pdu9,0.684
460,28200000000,pdu10,0.675
461,28200000000,pdu7,0.643
462,28200000000,pdu8,0.651
463,28200000000,pdu6,0.644
464,28200000000,pdu9,0.688
465,28500000000,pdu10,0.678
466,28500000000,pdu7,0.643
467,28500000000,pdu8,0.651
468,28500000000,pdu6,0.645
469,28500000000,pdu9,0.69
470,28800000000,pdu10,0.679
471,28800000000,pdu7,0.643
472,28800000000,pdu8,0.651
473,28800000000,pdu6,0.643
474,28800000000,pdu9,0.691
475,29100000000,pdu10,0.681
476,29100000000,pdu7,0.645
477,29100000000,pdu8,0.653
478,29100000000,pdu6,0.645
479,29100000000,pdu9,0.694
480,29400000000,pdu10,0.675
481,29400000000,pdu7,0.639
482,29400000000,pdu8,0.649
483,29400000000,pdu6,0.642
484,29400000000,pdu9,0.687
485,29700000000,pdu10,0.677
486,29700000000,pdu7,0.642
487,29700000000,pdu8,0.65
488,29700000000,pdu6,0.645
489,29700000000,pdu9,0.689
490,30000000000,pdu10,0.679
491,30000000000,pdu7,0.644
492,30000000000,pdu8,0.651
493,30000000000,pdu6,0.648
494,30000000000,pdu9,0.691
495,30300000000,pdu10,0.674
496,30300000000,pdu7,0.641
497,30300000000,pdu8,0.646
498,30300000000,pdu6,0.644
499,30300000000,pdu9,0.685
500,30600000000,pdu10,0.675
501,30600000000,pdu7,0.642
502,30600000000,pdu8,0.648
503,30600000000,pdu6,0.645
504,30600000000,pdu9,0.688
505,30900000000,pdu10,0.677
506,30900000000,pdu7,0.643
507,30900000000,pdu8,0.65
508,30900000000,pdu6,0.647
509,30900000000,pdu9,0.69
510,31200000000,pdu10,0.678
511,31200000000,pdu7,0.645
512,31200000000,pdu8,0.651
513,31200000000,pdu6,0.646
514,31200000000,pdu9,0.691
515,31500000000,pdu10,0.681
516,31500000000,pdu7,0.647
517,31500000000,pdu8,0.653
518,31500000000,pdu6,0.648
519,31500000000,pdu9,0.694
520,31800000000,pdu10,0.68
521,31800000000,pdu7,0.646
522,31800000000,pdu8,0.653
523,31800000000,pdu6,0.648
524,31800000000,pdu9,0.693
525,32100000000,pdu10,0.676
526,32100000000,pdu7,0.642
527,32100000000,pdu8,0.649
528,32100000000,pdu6,0.644
529,32100000000,pdu9,0.687
530,32400000000,pdu10,0.679
531,32400000000,pdu7,0.643
532,32400000000,pdu8,0.65
533,32400000000,pdu6,0.646
534,32400000000,pdu9,0.688
535,32700000000,pdu10,0.68
536,32700000000,pdu7,0.641
537,32700000000,pdu8,0.648
538,32700000000,pdu6,0.644
539,32700000000,pdu9,0.686
540,33000000000,pdu10,0.679
541,33000000000,pdu7,0.64
542,33000000000,pdu8,0.647
543,33000000000,pdu6,0.643
544,33000000000,pdu9,0.685
545,33300000000,pdu10,0.682
546,33300000000,pdu7,0.643
547,33300000000,pdu8,0.651
548,33300000000,pdu6,0.646
549,33300000000,pdu9,0.688
550,33600000000,pdu10,0.687
551,33600000000,pdu7,0.647
552,33600000000,pdu8,0.66
553,33600000000,pdu6,0.65
554,33600000000,pdu9,0.695
555,33900000000,pdu10,0.683
556,33900000000,pdu7,0.644
557,33900000000,pdu8,0.656
558,33900000000,pdu6,0.647
559,33900000000,pdu9,0.689
560,34200000000,pdu10,0.684
561,34200000000,pdu7,0.647
562,34200000000,pdu8,0.658
563,34200000000,pdu6,0.648
564,34200000000,pdu9,0.692
565,34500000000,pdu10,0.685
566,34500000000,pdu7,0.647
567,34500000000,pdu8,0.657
568,34500000000,pdu6,0.647
569,34500000000,pdu9,0.693
570,34800000000,pdu10,0.689
571,34800000000,pdu7,0.651
572,34800000000,pdu8,0.662
573,34800000000,pdu6,0.651
574,34800000000,pdu9,0.698
575,35100000000,pdu10,0.688
576,35100000000,pdu7,0.649
577,35100000000,pdu8,0.66
578,35100000000,pdu6,0.649
579,35100000000,pdu9,0.696
580,35400000000,pdu10,0.689
581,35400000000,pdu7,0.649
582,35400000000,pdu8,0.66
583,35400000000,pdu6,0.65
584,35400000000,pdu9,0.698
585,35700000000,pdu10,0.685
586,35700000000,pdu7,0.645
587,35700000000,pdu8,0.655
588,35700000000,pdu6,0.645
589,35700000000,pdu9,0.692
590,36000000000,pdu10,0.678
591,36000000000,pdu7,0.64
592,36000000000,pdu8,0.65
593,36000000000,pdu6,0.639
594,36000000000,pdu9,0.685
595,36300000000,pdu10,0.673
596,36300000000,pdu7,0.636
597,36300000000,pdu8,0.645
598,36300000000,pdu6,0.636
599,36300000000,pdu9,0.679
600,36600000000,pdu10,0.676
601,36600000000,pdu7,0.644
602,36600000000,pdu8,0.649
603,36600000000,pdu6,0.641
604,36600000000,pdu9,0.682
605,36900000000,pdu10,0.674
606,36900000000,pdu7,0.644
607,36900000000,pdu8,0.646
608,36900000000,pdu6,0.64
609,36900000000,pdu9,0.679
610,37200000000,pdu10,0.681
611,37200000000,pdu7,0.649
612,37200000000,pdu8,0.651
613,37200000000,pdu6,0.645
614,37200000000,pdu9,0.687
615,37500000000,pdu10,0.684
616,37500000000,pdu7,0.652
617,37500000000,pdu8,0.654
618,37500000000,pdu6,0.649
619,37500000000,pdu9,0.691
620,37800000000,pdu10,0.687
621,37800000000,pdu7,0.655
622,37800000000,pdu8,0.658
623,37800000000,pdu6,0.651
624,37800000000,pdu9,0.695
625,38100000000,pdu10,0.684
626,38100000000,pdu7,0.654
627,38100000000,pdu8,0.656
628,38100000000,pdu6,0.649
629,38100000000,pdu9,0.691
630,38400000000,pdu10,0.688
631,38400000000,pdu7,0.657
632,38400000000,pdu8,0.66
633,38400000000,pdu6,0.653
634,38400000000,pdu9,0.696
635,38700000000,pdu10,0.687
636,38700000000,pdu7,0.654
637,38700000000,pdu8,0.657
638,38700000000,pdu6,0.651
639,38700000000,pdu9,0.693
640,39000000000,pdu10,0.685
641,39000000000,pdu7,0.655
642,39000000000,pdu8,0.657
643,39000000000,pdu6,0.649
644,39000000000,pdu9,0.692
645,39300000000,pdu10,0.686
646,39300000000,pdu7,0.659
647,39300000000,pdu8,0.657
648,39300000000,pdu6,0.65
649,39300000000,pdu9,0.692
650,39600000000,pdu10,0.685
651,39600000000,pdu7,0.658
652,39600000000,pdu8,0.656
653,39600000000,pdu6,0.648
654,39600000000,pdu9,0.692
655,39900000000,pdu10,0.682
656,39900000000,pdu7,0.655
657,39900000000,pdu8,0.654
658,39900000000,pdu6,0.645
659,39900000000,pdu9,0.688
660,40200000000,pdu10,0.685
661,40200000000,pdu7,0.657
662,40200000000,pdu8,0.657
663,40200000000,pdu6,0.648
664,40200000000,pdu9,0.691
665,40500000000,pdu10,0.687
666,40500000000,pdu7,0.655
667,40500000000,pdu8,0.657
668,40500000000,pdu6,0.649
669,40500000000,pdu9,0.692
670,40800000000,pdu10,0.687
671,40800000000,pdu7,0.653
672,40800000000,pdu8,0.655
673,40800000000,pdu6,0.652
674,40800000000,pdu9,0.69
675,41100000000,pdu10,0.684
676,41100000000,pdu7,0.65
677,41100000000,pdu8,0.651
678,41100000000,pdu6,0.652
679,41100000000,pdu9,0.687
680,41400000000,pdu10,0.682
681,41400000000,pdu7,0.65
682,41400000000,pdu8,0.65
683,41400000000,pdu6,0.655
684,41400000000,pdu9,0.685
685,41700000000,pdu10,0.685
686,41700000000,pdu7,0.651
687,41700000000,pdu8,0.653
688,41700000000,pdu6,0.662
689,41700000000,pdu9,0.688
690,42000000000,pdu10,0.679
691,42000000000,pdu7,0.645
692,42000000000,pdu8,0.648
693,42000000000,pdu6,0.659
694,42000000000,pdu9,0.682
695,42300000000,pdu10,0.683
696,42300000000,pdu7,0.648
697,42300000000,pdu8,0.649
698,42300000000,pdu6,0.662
699,42300000000,pdu9,0.684
700,42600000000,pdu10,0.688
701,42600000000,pdu7,0.653
702,42600000000,pdu8,0.654
703,42600000000,pdu6,0.667
704,42600000000,pdu9,0.691
705,42900000000,pdu10,0.687
706,42900000000,pdu7,0.654
707,42900000000,pdu8,0.659
708,42900000000,pdu6,0.67
709,42900000000,pdu9,0.691
710,43200000000,pdu10,0.686
711,43200000000,pdu7,0.653
712,43200000000,pdu8,0.659
713,43200000000,pdu6,0.672
714,43200000000,pdu9,0.691
715,43500000000,pdu10,0.691
716,43500000000,pdu7,0.657
717,43500000000,pdu8,0.662
718,43500000000,pdu6,0.676
719,43500000000,pdu9,0.696
720,43800000000,pdu10,0.696
721,43800000000,pdu7,0.662
722,43800000000,pdu8,0.666
723,43800000000,pdu6,0.68
724,43800000000,pdu9,0.701
725,44100000000,pdu10,0.697
726,44100000000,pdu7,0.661
727,44100000000,pdu8,0.671
728,44100000000,pdu6,0.68
729,44100000000,pdu9,0.701
730,44400000000,pdu10,0.683
731,44400000000,pdu7,0.644
732,44400000000,pdu8,0.66
733,44400000000,pdu6,0.667
734,44400000000,pdu9,0.686
735,44700000000,pdu10,0.681
736,44700000000,pdu7,0.647
737,44700000000,pdu8,0.658
738,44700000000,pdu6,0.666
739,44700000000,pdu9,0.683
740,45000000000,pdu10,0.676
741,45000000000,pdu7,0.648
742,45000000000,pdu8,0.655
743,45000000000,pdu6,0.663
744,45000000000,pdu9,0.68
745,45300000000,pdu10,0.679
746,45300000000,pdu7,0.656
747,45300000000,pdu8,0.659
748,45300000000,pdu6,0.666
749,45300000000,pdu9,0.682
750,45600000000,pdu10,0.686
751,45600000000,pdu7,0.665
752,45600000000,pdu8,0.666
753,45600000000,pdu6,0.671
754,45600000000,pdu9,0.691
755,45900000000,pdu10,0.687
756,45900000000,pdu7,0.665
757,45900000000,pdu8,0.668
758,45900000000,pdu6,0.672
759,45900000000,pdu9,0.692
760,46200000000,pdu10,0.683
761,46200000000,pdu7,0.66
762,46200000000,pdu8,0.664
763,46200000000,pdu6,0.667
764,46200000000,pdu9,0.688
765,46500000000,pdu10,0.681
766,46500000000,pdu7,0.659
767,46500000000,pdu8,0.662
768,46500000000,pdu6,0.665
769,46500000000,pdu9,0.686
770,46800000000,pdu10,0.681
771,46800000000,pdu7,0.658
772,46800000000,pdu8,0.66
773,46800000000,pdu6,0.665
774,46800000000,pdu9,0.685
775,47100000000,pdu10,0.678
776,47100000000,pdu7,0.655
777,47100000000,pdu8,0.657
778,47100000000,pdu6,0.662
779,47100000000,pdu9,0.682
780,47400000000,pdu10,0.669
781,47400000000,pdu7,0.649
782,47400000000,pdu8,0.65
783,47400000000,pdu6,0.655
784,47400000000,pdu9,0.671
785,47700000000,pdu10,0.671
786,47700000000,pdu7,0.65
787,47700000000,pdu8,0.65
788,47700000000,pdu6,0.657
789,47700000000,pdu9,0.671
790,48000000000,pdu10,0.672
791,48000000000,pdu7,0.653
792,48000000000,pdu8,0.651
793,48000000000,pdu6,0.658
794,48000000000,pdu9,0.671
795,48300000000,pdu10,0.675
796,48300000000,pdu7,0.658
797,48300000000,pdu8,0.655
798,48300000000,pdu6,0.661
799,48300000000,pdu9,0.674
800,48600000000,pdu10,0.676
801,48600000000,pdu7,0.66
802,48600000000,pdu8,0.657
803,48600000000,pdu6,0.662
804,48600000000,pdu9,0.677
805,48900000000,pdu10,0.678
806,48900000000,pdu7,0.662
807,48900000000,pdu8,0.659
808,48900000000,pdu6,0.663
809,48900000000,pdu9,0.679
810,49200000000,pdu10,0.681
811,49200000000,pdu7,0.663
812,49200000000,pdu8,0.659
813,49200000000,pdu6,0.665
814,49200000000,pdu9,0.681
815,49500000000,pdu10,0.687
816,49500000000,pdu7,0.666
817,49500000000,pdu8,0.666
818,49500000000,pdu6,0.672
819,49500000000,pdu9,0.688
820,49800000000,pdu10,0.691
821,49800000000,pdu7,0.669
822,49800000000,pdu8,0.668
823,49800000000,pdu6,0.679
824,49800000000,pdu9,0.693
825,50100000000,pdu10,0.693
826,50100000000,pdu7,0.673
827,50100000000,pdu8,0.67
828,50100000000,pdu6,0.682
829,50100000000,pdu9,0.695
830,50400000000,pdu10,0.691
831,50400000000,pdu7,0.679
832,50400000000,pdu8,0.671
833,50400000000,pdu6,0.678
834,50400000000,pdu9,0.694
835,50700000000,pdu10,0.69
836,50700000000,pdu7,0.677
837,50700000000,pdu8,0.67
838,50700000000,pdu6,0.673
839,50700000000,pdu9,0.691
840,51000000000,pdu10,0.688
841,51000000000,pdu7,0.671
842,51000000000,pdu8,0.666
843,51000000000,pdu6,0.674
844,51000000000,pdu9,0.688
845,51300000000,pdu10,0.686
846,51300000000,pdu7,0.671
847,51300000000,pdu8,0.663
848,51300000000,pdu6,0.675
849,51300000000,pdu9,0.688
850,51600000000,pdu10,0.685
851,51600000000,pdu7,0.666
852,51600000000,pdu8,0.659
853,51600000000,pdu6,0.672
854,51600000000,pdu9,0.684
855,51900000000,pdu10,0.689
856,51900000000,pdu7,0.669
857,51900000000,pdu8,0.664
858,51900000000,pdu6,0.675
859,51900000000,pdu9,0.689
860,52200000000,pdu10,0.694
861,52200000000,pdu7,0.671
862,52200000000,pdu8,0.671
